SMILES,CCR5,INT,RT,reward
C=CC1(C)CC(N2CCC3(CCCN(c4cc(C5CCCN5CCO)c(F)cc4CCCCCCC)C3)C2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,8.450043497,5.020418609,6.253462658,8.450043497
C=CC1(C)CC(N2CCC3(CCCN(c4cc(-n5ncc6c7ccccc7n(C(C)(C)CC)c6c5=O)c(CCCCCCC)cc4F)C3)C2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,8.499097854,5.226281549,6.296774782,8.499097854
C=CC1(C)CC(N2CCC3(CCCN(c4cc(F)c(CCCCCCC)cc4CC4=NC(=O)N(C(=O)CCCCC)C4=O)C3)C2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,7.70839249,5.47750219,6.377608455,7.70839249
C=CC1(C)CC(N2CCC3(CCCN(CCCCCCCc4cc(C5CC6CCC(C5)N6C)c(-c5ccc(C(=N)N)cc5F)cc4F)C3)C2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,8.610859196,5.370810341,6.118307637,8.610859196
C=CC1(C)CC(N2CCC3(CCCN(CCCCCCCc4cc(C5CCCCCC5)c(F)cc4-c4ccc(C)nc4)C3)C2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,8.61008827,5.936763393,6.238898933,8.61008827
C=CC1(C)CC(N2CCCC3(CCN(CCCCCCCc4cc(C(C)=O)c(-c5ccnc(Cl)c5)cc4F)C3)C2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,8.723156047,5.884658866,6.197731059,8.723156047
C=CC1(C)CC(N2CCCC3(CCN(CCCCCCCc4ccccc4C=Cc4ccc(Cl)c(Cl)c4)C3)C2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,8.678488028,5.010412772,6.148828622,8.678488028
C=CC1(C)CC(N2CCC3(CCCN(C(=O)C(N)CCN4C(CCCCCCC)CC5CC54)C3)C2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,8.141839392,4.801886952,5.82149077,8.141839392
C=CC1(C)CC(N2CCCC3(CCN(CCCCCCCc4ccccc4C=CC#N)C3)C2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,8.53339979,4.803557702,5.980956081,8.53339979
C=CC1(C)CC(N2CCCC3(CCN(c4cc(CCCCCCC)c(-c5cccc6c5C(=O)N(C(C)=O)C6)cc4F)C3)C2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,8.08826749,5.593110541,6.121760758,8.08826749
