SMILES,CCR5,INT,RT,reward
Cc1cc(C2CCC(=O)N(C(=O)C(CCC=O)N3Cc4ccncc4C3)C2)c2cc(-c3cc(C4CC(F)(F)C4)[nH]c(=O)c3C#N)ccc2n1,7.589312181,6.302164769,6.349727968,6.302164769
CC(=CCCC1CCC(=O)N(c2cc(-c3ncccc3F)[nH]c(=O)c2C#N)C1)C(=O)N1Cc2ccncc2C1,6.775154368,6.443781617,6.089596412,6.443781617
N#Cc1c(N2CC(c3ccc[nH]c3=O)CCC2=O)cc(-c2ncccc2F)[nH]c1=O,5.513755615,6.683253611,5.874403438,6.683253611
N#Cc1c(-c2ncccc2F)cc(C2CCC(=O)N(CS)C2)[nH]c1=O,5.943904241,6.890435317,6.060684203,6.890435317
Fc1cccnc1-c1cc(C2CC(F)(F)C2)ccc1C=Cc1ccc2c(c1)OCO2,5.585655253,5.974245636,5.926898101,5.974245636
Cc1cc(C)c(C2CCC(=O)N(c3cc(-c4ncccc4F)[nH]c(=O)c3C#N)C2)c(=O)[nH]1,5.755851312,6.827168916,6.244244366,6.827168916
N#Cc1c(-c2ncccc2F)cc(C2CCC(=O)N(c3nc4ccccc4[nH]c3=O)C2)[nH]c1=O,5.838076662,6.545243321,6.16981411,6.545243321
N#Cc1c(N2CC(c3cc(Br)cc(Br)c3O)CCC2=O)cc(-c2ncccc2F)[nH]c1=O,5.8849225,6.508932981,6.180498761,6.508932981
N#Cc1c(N2CC(c3c[nH]c(O)c3)CCC2=O)cc(-c2ncccc2F)[nH]c1=O,5.76995502,6.902688901,6.16808066,6.902688901
N#Cc1c(C(=O)NNC(=S)NC2CCC(=O)N(C(=O)CC(C=O)N3Cc4ccncc4C3)C2)cc(C2CC(F)(F)C2)[nH]c1=O,6.37643086,6.325791654,5.946838864,6.325791654
CC(C)(CN1Cc2ccncc2C1)C1CCC(=O)N(c2cc(-c3ncccc3F)[nH]c(=O)c2C#N)C1,6.076307193,6.9456892,6.342519131,6.9456892
CC(C)C(C(=O)N1CC(N2CCN(S(=O)(=O)c3ccccc3[N+](=O)[O-])C3CS(=O)(=O)CC32)CCC1=O)N1Cc2ccncc2C1,6.950604747,5.833449389,6.20536539,5.833449389
Cc1nnc(N2CC(c3cc(-c4ncccc4F)[nH]c(=O)c3C#N)CCC2=O)s1,5.629908972,6.758284332,6.359501099,6.758284332
N#Cc1c(C2CCC(=O)N(c3ccc(O)cc3)C2)cc(-c2ncccc2F)[nH]c1=O,5.54151448,6.626167402,6.29913663,6.626167402
N#Cc1c(-c2ncccc2F)cc(N2CC(N3CC=C(c4ccccc4)CC3)CCC2=O)[nH]c1=O,6.328588366,6.601420174,6.08937984,6.601420174
N#Cc1c(-c2ncccc2F)cc(N2CC(c3ccccc3F)CCC2=O)[nH]c1=O,5.596292872,6.618341455,6.153646324,6.618341455
Cc1c(N2CC(c3cc(-c4ncccc4F)c(C#N)c(=O)[nH]3)CCC2=O)oc2ccccc12,5.938079437,6.817888961,6.257390317,6.817888961
O=S(=O)(c1ccc2ccccc2c1)N1CCC23c4c5ccc(O)c4OC2C(c2ncccc2F)CCC3(O)C1C5,6.179532459,5.824529393,5.795332078,5.824529393
CON=C(C(=O)N1Cc2ccncc2C1)c1ccccc1C1CCC(=O)N(c2cc(-c3ncccc3F)c(C#N)c(=O)[nH]2)C1,6.445210578,6.570643843,6.071905433,6.570643843
N#Cc1c(-c2ccc(N3CC(c4ncccc4F)CCC3=O)s2)cc(C2CC(F)(F)C2)[nH]c1=O,6.646389786,6.638288299,6.624953062,6.638288299
Cc1cc(C2CCC(=O)N(c3cc(-c4ncccc4F)c(C#N)c(=O)[nH]3)C2)c2ccccc2n1,5.902513394,6.81307386,6.30051962,6.81307386
N#Cc1c(N2CC(c3cc[nH]c(=Nc4ccc(C5CC(F)(F)C5)cc4)n3)CCC2=O)cc(-c2ncccc2F)[nH]c1=O,6.724550667,6.078315078,6.359578925,6.078315078
CS(=O)(=O)c1ccc(C2CCC(=O)N(c3cc(-c4ncccc4F)[nH]c(=O)c3C#N)C2)cc1[N+](=O)[O-],5.508518388,6.360673856,5.957769148,6.360673856
N#Cc1c(N2CC(c3nn(-c4ncccc4F)c(=O)o3)CCC2=O)cc(C2CC(F)(F)C2)[nH]c1=O,6.045731395,6.3552471,6.578991277,6.3552471
N#Cc1c(-n2c(=N)n(C3CCC(=O)N(C(=O)N4Cc5ccncc5C4)C3)c3ccccc32)cc(C2CC(F)(F)C2)[nH]c1=O,7.355590191,6.396427902,6.24064464,6.396427902
Fc1cccnc1-c1ccc2c(C=Cc3ccco3)[nH]nc2c1,5.361224971,5.654279837,5.794948085,5.654279837
N#Cc1c(C2CCC(=O)N(CCCCN)C2)cc(-c2ncccc2F)[nH]c1=O,5.742940699,6.6543607,6.238994312,6.6543607
Cc1nnsc1C1CCC(=O)N(c2cc(-c3ncccc3F)c(C#N)c(=O)[nH]2)C1,5.759992537,6.805388156,6.235542577,6.805388156
N#Cc1c(-n2c(=O)n(C3CCC(=O)N(C(N)=O)C3)c(=O)c3ccccc32)cc(C2CC(F)(F)C2)[nH]c1=O,5.501999567,6.390209139,5.518729216,6.390209139
N#Cc1c(C2CC(F)(F)C2)cc(CCCCCCC(=O)C2CCC(=O)N(C(=O)CCN3Cc4ccncc4C3)C2)[nH]c1=O,7.684436905,6.72175388,6.51440495,6.72175388
N#Cc1c(-c2ncccc2F)cc(C2CCC(=O)N(CCCCN)C2)[nH]c1=O,6.003137875,6.621453761,6.1927413,6.621453761
Cn1cnc(N2CC(c3cc(-c4ncccc4F)[nH]c(=O)c3C#N)CCC2=O)c1,5.82528323,6.757227667,5.930888122,6.757227667
CC=C1CCCC(=Cc2ccc(-c3ncccc3F)cc2C2CC(F)(F)C2)C1=O,6.100586629,5.954825343,5.655020723,5.954825343
N#Cc1c(C2CCC(=O)N(C3OCCN3CCCCCCCN3Cc4ccncc4C3)C2)cc(C2CC(F)(F)C2)[nH]c1=O,7.476850523,6.405328884,6.148262399,6.405328884
N#Cc1c(-c2ncccc2F)cc(C2CCC(=O)N(C3SCC4NC(=O)NC43)C2)[nH]c1=O,6.543131655,6.812463555,6.156030228,6.812463555
N#Cc1c(-c2ncccc2F)cc(C2CCC(=O)N(c3cc(F)c(F)c(F)c3)C2)[nH]c1=O,5.637426626,6.481830818,6.463963942,6.481830818
N#Cc1c(-c2ncccc2F)cc(N2CC(N3CCC(N4Cc5ccncc5C4)(S(=O)(=O)c4ccc(F)cc4)C3)CCC2=O)[nH]c1=O,6.780997443,6.43001892,6.212544033,6.43001892
Cc1nc(N2CC(c3cc(-c4ncccc4F)[nH]c(=O)c3C#N)CCC2=O)cs1,5.70218509,6.749020115,6.462103461,6.749020115
CC(=O)N1CC(c2cc(=NC(O)c3cc(CC=O)c(C#N)c(=O)[nH]3)[nH]n2C2CC(F)(F)C2)CCC1=O,6.392826137,6.37539898,6.093141707,6.37539898
N#Cc1c(C2CCC(=O)N(C(=O)CCN)C2)cc(-c2ncccc2F)[nH]c1=O,5.671006544,6.740285739,6.095026725,6.740285739
N#Cc1c(N2CC(CCO)CCC2=O)cc(-c2ncccc2F)[nH]c1=O,5.530775519,6.601246977,6.256283644,6.601246977
CC(CN1CC(c2cc(-c3ncccc3F)[nH]c(=O)c2C#N)CCC1=O)N1Cc2ccncc2C1,6.685788577,6.809239425,6.154763329,6.809239425
CC(C)SCN1CC(c2ncccc2F)CCC1=O,5.885706034,5.938333078,6.153917192,5.938333078
CCC(C(=O)N1CC(c2nnc(C)c3c(C)n(-c4cc(C5CC(F)(F)C5)c(C#N)c(=O)[nH]4)nc23)CCC1=O)N1Cc2ccncc2C1,7.686692251,6.560960651,6.292490845,6.560960651
N#Cc1c(C2CC(F)(F)C2)cc(N2CC(c3ccc(-c4ncccc4F)c([N+](=O)[O-])c3)CCC2=O)[nH]c1=O,6.118516221,6.52431669,6.235281061,6.52431669
N#Cc1c(N2CC(N3CC(N4Cc5ccncc5C4)CC3=O)CCC2=O)cc(-c2ncccc2F)[nH]c1=O,6.86076757,6.74916167,5.729128481,6.74916167
N#Cc1c(-c2ncccc2F)cc(N2CC(N3CCOC3=O)CCC2=O)[nH]c1=O,6.069951959,6.48556316,5.844508585,6.48556316
