SMILES,CCR5,INT,RT,reward
Cc1cc(C)nc(N(C(=S)Nc2cc(-c3ccc(S(=O)(=O)N=c4[nH]cns4)cc3C#N)c(Cl)cc2F)c2sc(C)nc2C)n1,6.459819631,5.044421216,6.938344051,6.938344051
Cc1cc(C)nc(CS(=O)(=O)CC2OC(c3cc(N(C(N)=S)c4nc(C)cc(C)n4)c(Cl)cc3F)C(F)C2O)n1,6.947508026,4.836735868,6.799028975,6.799028975
Cc1cc(C)nc(N(C(=S)NCCc2cc(C(=O)N=c3nn[nH][nH]3)c(Cl)cc2F)c2nc(C)cc(C)n2)n1,6.354083602,5.298129608,7.53003546,7.53003546
Cc1cc(C)nc(N(C(=S)Nc2cc(C3CC3)c(F)cc2Cl)c2sc(C)nc2C)n1,6.077100471,4.79870919,7.841933733,7.841933733
Cc1cc(C)nc(NC(=S)NC(Cc2cc(SSc3nc(C)cc(C)n3)c(Cl)cc2F)C(N)=O)n1,6.137294463,5.031610417,7.386509943,7.386509943
Cc1cc(C)nc(N(C(=S)Nc2cc(C3CC(F)(F)C3)c(F)cc2Cl)c2sc(C)nc2C)n1,6.519421722,4.825001801,7.800663277,7.800663277
Cc1cc(C)nc(C(=O)CCCCCCc2cc(N(C3CCCc4cccnc43)S(=O)(=O)c3cccc(Cl)c3)c(F)cc2Cl)n1,7.187570375,5.076174208,7.074322558,7.074322558
Cc1cc(C)nc(NC(=S)N(CCC(N)=O)c2sc(C)nc2C)n1,5.804912877,4.914211073,7.340559258,7.340559258
Cc1cc(C)nc(N(C(=S)NCC(=O)O)c2sc(C)nc2C)n1,6.126550185,4.879605181,7.322845157,7.322845157
Cc1cc(C)nc(NC(=S)N(c2nc(C)cc(C)n2)c2cccc(-c3cc(C(N)N)c(F)cc3Cl)c2F)n1,5.93732237,5.05515305,7.362803528,7.362803528
CCCC=Cc1ccc(-c2cc(NC(=S)N(c3nc(C)cc(C)n3)c3sc(C)nc3C)c(F)cc2Cl)c(O)c1,6.257244574,5.105790735,7.244189921,7.244189921
Cc1cc(C)nc(N(C(=S)NCC(N)Cc2cc(N3CCC(F)(F)CC3)c(F)cc2Cl)c2nc(C)cc(C)n2)n1,7.120776372,4.909947798,7.098440218,7.098440218
Cc1cc(C)nc(NC(=S)Nc2cc(-c3[nH]n(C(C)(O)C(F)(F)F)c(=N)c3C(=O)N=c3[nH]c(C)cs3)c(F)cc2Cl)n1,6.55443337,5.195781142,7.099258956,7.099258956
Cc1cc(C)nc(N(C(=S)NC(=O)CC#N)c2sc(C)nc2C)n1,5.926312137,5.08981613,7.328050572,7.328050572
