SMILES,receptor,docking score
[H]S(=O)(=O)c1ccc2oc(-c3cc4c([nH]c5ccccc54)c(-c4cc(-c5cc([H])cc6cccnc56)c5ncccc5c4)n3)c(C)c2c1,5ht1b,-12.8
[H]c1nc(C2(c3cc(-c4cc([H])c5ncccc5c4)c4ncccc4c3)CC2)cc2c1[nH]c1ccccc12,5ht1b,-14
[H]n1cc(C2(F)CCN(C(C)=O)CC2)ccc1=O,5ht1b,-7.9
[H]C(C)CCCN1CCC23c4c5ccc(O)c4OC2C(c2cc([H])cc4cccnc24)CCC3(O)C1C5,5ht1b,-10.2
[H]c1nc(C2C(c3cc([H])c4ncccc4c3)OC(c3cc([H])cc4cccnc34)C2O)cc2c1[nH]c1ccccc12,5ht1b,-13.7
[H]c1cc(-c2cc3c([nH]c4ccccc43)c(-c3ncnc4c3CCN(C(=O)C(N)C(C)CC)CC4)n2)cc2cccnc12,5ht1b,-12.9
[H]c1cc(C2CCC3(O)C4Cc5ccc(O)c6c5C3(CCN4CCO)C2O6)cc2cccnc12,5ht1b,-10.5
[H]c1cc(-c2cc3c([nH]c4ccccc43)c(-c3nc(-c4cc([H])c5ncccc5c4)oc3C)n2)cc2cccnc12,5ht1b,-11.9
[H]C(=O)C([H])(C)Cc1cc2c([nH]c3ccccc32)c(-c2cc(-c3cc([H])cc4cccnc34)c3ncccc3c2)n1,5ht1b,-13.6
O=c1cccc2n1CC1CC2CN(S(=O)(=O)c2ccc3ccccc3c2)C1,5ht1b,-10.5
[H]c1cc(-c2ccc3oc(-c4nc(-c5cc([H])c6ncccc6c5)cc5c4[nH]c4ccccc45)nc3c2)c2ncccc2c1,5ht1b,-10.7
[H]c1cc(-c2cc3c([nH]c4ccccc43)c(-c3[nH]c(=N)[nH]c(=N)c3-c3cc([H])c4ncccc4c3)n2)c2ncccc2c1,5ht1b,-14
[H]c1cc(C2CCC3(O)C4Cc5ccc(O)c6c5C3(CCN4C(=O)CCC)C2O6)cc2cccnc12,5ht1b,-9.7
[H]c1cc(-c2cc3cccc(C)c3c(=O)n2-c2cc3c([nH]c4ccccc43)c(-c3cc([H])c4ncccc4c3)n2)c2ncccc2c1,5ht1b,-7.8
[H]c1cc(-c2cc3c([nH]c4ccccc43)c(C(=O)N=c3cc[nH]n3-c3cc([H])c4ncccc4c3)n2)c2ncccc2c1,5ht1b,-13.8
[H]c1nc(-c2cc([H])cc3cccnc23)c2cnn(-c3cc4c([nH]c5ccccc54)c(-c4cc([H])c5ncccc5c4)n3)c2n1,5ht1b,-9.5
[H]c1cc(-c2nc(SC(=S)NCC(C)C)cc3c2[nH]c2ccccc23)cc2cccnc12,5ht1b,-10.3
[H]c1cc(-c2cc(-c3nc(CCl)cc4c3[nH]c3ccccc34)c3ncccc3c2)c2ncccc2c1,5ht1b,-13.3
[H]C1CC1([H])c1nc(-c2cc(-c3cc([H])cc4cccnc34)c3ncccc3c2)cc2c1[nH]c1ccccc12,5ht1b,-14.3
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(SC(F)(F)F)n3)cc3cccnc23)c2ncccc2c1,5ht1b,-13.9
[H]C(=O)CC(=O)N1CCC23c4c5ccc(O)c4OC2C(c2cc([H])cc4cccnc24)CCC3(O)C1C5,5ht1b,-10.6
[H]c1cc(C2N3C(=O)C(c4nc(-c5cc([H])c6ncccc6c5)cc5c4[nH]c4ccccc45)C3SC2(C)C)c2ncccc2c1,5ht1b,-10.7
[H]C1(c2cc([H])cc3cccnc23)CC(=O)C(c2nc(-c3cc([H])cc4cccnc34)cc3c2[nH]c2ccccc23)C(=O)O1,5ht1b,-12.9
[H]c1cc2c([nH]c3ccccc32)c(C2(c3cc(-c4cc([H])c5ncccc5c4)cc4cccnc34)CC2)n1,5ht1b,-13.6
[H]c1cc(-c2cc3c([nH]c4ccccc43)c([N+](C)(C)C(=O)C(N)CC(C)C)n2)c2ncccc2c1,5ht1b,-10.4
[H]c1cc(-n2cc(C=Cc3cccc4ccccc34)c3ccccc32)c2ncccc2c1,5ht1b,-12.4
[H]c1cc(-n2ncc(-n3cc(-c4cc([H])c5ncccc5c4)c(=O)c4ccccc43)c2C)c2ncccc2c1,5ht1b,-12.9
[H]C(=O)C(C)N1CCC23c4c5ccc(O)c4OC2C(c2cc([H])c4ncccc4c2)CCC3(O)C1C5,5ht1b,-11.2
O=C1NC(=S)SC1=Cc1ccco1,5ht1b,-5.8
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(CN=[N+]=[N-])n3)c3ncccc3c2)cc2cccnc12,5ht1b,-14.4
[H]CC(O)C([H])Cc1cc2c([nH]c3ccccc32)c(-c2cc(-c3cc([H])c4ncccc4c3)c3ncccc3c2)n1,5ht1b,-13.1
[H]c1cc(-c2cc(-c3nc(-c4c[nH]c(=N)[nH]4)cc4c3[nH]c3ccccc34)c3ncccc3c2)c2ncccc2c1,5ht1b,-14.8
[H]C1CCC2C(=CCCOS(N)(=O)=O)CCCC12C,5ht1b,-7.7
[H]c1cc(-c2nc(C3(C#N)CCN(C(=O)C(=O)O)CC3)cc3c2[nH]c2ccccc23)c2ncccc2c1,5ht1b,-11.4
[H]c1cc(-c2cc(-c3nc(-c4ccc(Cl)cc4C)cc4c3[nH]c3ccccc34)cc3cccnc23)c2ncccc2c1,5ht1b,-13.8
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(C4COc5nc([N+](=O)[O-])cn5C4)n3)c3ncccc3c2)c2ncccc2c1,5ht1b,-16.4
[H]c1cc(-c2cc(-c3nc(CCl)cc4c3[nH]c3ccccc34)cc3cccnc23)cc2cccnc12,5ht1b,-13.9
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(-n4c(C)ccc4C)n3)cc3cccnc23)cc2cccnc12,5ht1b,-15.1
[H]c1nc(C2COCCC2c2cc(-c3cc([H])cc4cccnc34)cc3cccnc23)cc2c1[nH]c1ccccc12,5ht1b,-14.5
[H]c1nc(-c2cc3ccccc3nc2-c2cc(-c3cc([H])cc4cccnc34)c3ncccc3c2)cc2c1[nH]c1ccccc12,5ht1b,-12.1
Clc1ccc2c(=NCCN3CCC4(C=Cc5ccccc54)CC3)cc[nH]c2c1,5ht1b,-11.1
[H]c1cc(-c2cc(-c3nc(C4CCS(=O)(=O)CC4)cc4c3[nH]c3ccccc34)cc3cccnc23)c2ncccc2c1,5ht1b,-14.2
[H]c1cc(-c2cc(-c3nc(C4CCS(=O)(=O)C4)cc4c3[nH]c3ccccc34)c3ncccc3c2)c2ncccc2c1,5ht1b,-14
