SMILES,trg(MW),trg(LogP),trg(QED),trg(TPSA),trg(HBA),trg(HBD),trg(DRD2),gen(MW),gen(LogP),gen(QED),gen(TPSA),gen(HBA),gen(HBD),gen(DRD2),reward
CCCC(=O)N1C(=O)C(=O)N(c2ccc(N=c3nc4c(c[nH]3)cc(-n3c(-c5ccc6c(N7CC8CC7CO8)nn(-c7nc(-c8nc(=O)c(ON9C(N)=NC(N)=NC9(C)C)c[nH]8)ccc7-c7n[nH]c(=N)s7)c6c5)cc5c[nH]c(=Nc6ccc(-c7c[nH]c(C8CCCC8C(=O)NN)nc7=O)cn6)nc53)n4C3C(C)=NC(=O)NC3C3(C)CC3)nc2)C1=O,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1625.693,4.46057,0.01856085,565.5,24,11,0.276863083,0.584943611
COc1nc(=O)c(-c2ccc(N=c3nc4c(c[nH]3)cc(ON3C(N)=NC(N)=NC3(C)C)n4-c3ccc(N=c4nc5c(c[nH]4)cc(-c4nn(-c6ccc7[nH]c(=O)c(CCCN)cc7c6)c6c4CCN(C(=O)C(C)C)C6=O)n5-c4c[nH]c5ncnc(CCC(N)=O)c45)nc3)nc2)c[nH]1,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1293.348,3.4648,0.062995003,460.67,19,9,0.09122684,6.880929665
COc1ccc(N=c2nc3c(c[nH]2)cc(ON2C(N)=NC(N)=NC2(C)C)n3-c2ccc(N=c3nc4c(c[nH]3)cc(-c3nc(=O)c(-c5c[nH]c(-c6ccc(=O)[nH]n6)nc5=O)c[nH]3)n4-c3nn(-c4nc(=O)c(CCC(N)=O)c[nH]4)c4cc(-c5cc(C)ccc5F)ccc34)nc2)nc1,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1277.236,3.46442,0.070924958,460.09,19,9,0.130411584,13.18172332
COc1cc2c[nH]c(=Nc3ccc(-c4c[nH]c5ncnc(CCCN)c45)cn3)nc2n1-c1nn(C2CCCN2S(=O)(=O)c2c[nH]cn2)c2cc(-c3cc4c[nH]c(=Nc5ccc(-c6nc(=O)c(ON7C(N)=NC(N)=NC7(C)C)c[nH]6)cn5)nc4n3CCC(N)=O)ccc12,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1260.344,3.4481,0.059376815,456.49,19,9,0.169309314,11.32905414
COC1Cc2cc(C#N)ccc2N(c2ccc3c(-c4ccc(N=c5nc6c(c[nH]5)cc(-c5c[nH]c(CCCN)nc5=O)n6CCC(N)=O)nc4)nn(-c4ccc(N=c5nc6c(c[nH]5)cc(CCC(N)=O)n6-c5c[nH]c(ON6C(N)=NC(N)=NC6(C)C)nc5=O)nc4)c3c2)C1,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1265.338,2.86608,0.056177353,464.73,19,9,0.196777009,12.74710271
COc1c[nH]c(-n2c(CN=c3nc4c(=Cc5[nH]c(=O)[nH]c5O)cnn4c(=NC4CC4)[nH]3)cc3c[nH]c(=Nc4ccc(-c5ccc(N=c6nc7c(c[nH]6)cc(C6NC(=O)N=C(C)C6OC)n7-c6ccc7c(OC)nn(-c8ccc9c(n8)NCCC9)c7c6)nc5)cn4)nc32)nc1=O,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1275.289,3.1796,0.07546548,414.94,17,9,0.159207401,9.581976552
COc1cc2c[nH]c(=Nc3ccc(-c4ccc(N=c5nc6c(c[nH]5)cc(CCC(N)=O)n6-c5nn(-c6ccc(=O)[nH]n6)c6cc(-n7cnc8c(=N)[nH]cnc87)ccc56)nc4)cn3)nc2n1-c1cc(-c2c[nH]c(ON3C(N)=NC(N)=NC3(C)C)nc2=O)c(Cl)cn1,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1225.62,3.10617,0.075493994,451.83,18,9,0.152673714,4.1199625
COc1cc(C2C3=C(CCC3=O)N(c3c(-n4c(ON5C(N)=NC(N)=NC5(C)C)cc5c[nH]c(=Nc6ccc(-c7c[nH]c(-c8c[nH]c(CCCN)nc8=O)nc7=O)cn6)nc54)cnn3-c3cc4c[nH]c(=Nc5ccc(CCC(N)=O)cn5)nc4n3CCCN)C(=O)N2C)c(Cl)cn1,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1320.802,2.8925,0.052946526,474.14,20,9,0.188157212,3.609994214
COC1NC(=O)N=C(C)C1c1ccc(N=c2nc3c(c[nH]2)cc(-c2cc4c[nH]c(=Nc5ccc(-c6nc(CCC(N)=O)nc7c6CN(C(C)CCCN)CC7)cn5)nc4n2-c2ccc(ON4C(N)=NC(N)=NC4(C)C)c(C#N)c2)n3-c2c[nH]c(CCC(N)=O)nc2=O)nc1,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1271.386,2.89078,0.052947703,468.4,19,9,0.127289488,57.27796191
CC1(C)N=C(N)N=C(N)N1Oc1c[nH]c(-c2nc(=O)c(-c3ccc(-c4ccc(N=c5nc6c(c[nH]5)cc(CCC(N)=O)n6-c5nn(-c6ccc(=O)[nH]n6)c6cc(NC(=NC#N)NS(=O)(=O)c7ccccc7Cl)ccc56)nc4)cc3C#N)c[nH]2)nc1=O,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1193.592,2.71616,0.042915674,464.39,19,9,0.133230159,2.558972814
COc1c[nH]c(-c2cc3c[nH]c(=Nc4ccc(-c5nn(-c6cc(S(C)(=O)=O)ccc6ON6C(N)=NC(N)=NC6(C)C)c6cc(-c7cc8c[nH]c(=Nc9ccc(CCCN)cn9)nc8n7CCC(N)=O)ccc56)cn4)nc3n2-c2cc(C(=O)CO)c(=O)[nH]c2C)nc1=O,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1263.336,3.03482,0.052530496,453.16,19,9,0.162197464,12.87869161
CC1=NC(=O)NC(c2nn(-c3c[nH]c(CCCN)nc3=O)c3cc(-c4ccc5c(c4)CC(=O)N(C(=O)C4=COCCO4)CC(C)C(c4ccc(N=c6nc7c(c[nH]6)cc(C6C(C)=NC(=O)NC6CCC(N)=O)n7-c6cc[nH]n6)nc4)O5)ccc23)C1ON1C(N)=NC(N)=NC1(C)C,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1306.38,3.3486,0.062625562,457.44,19,9,0.139765828,4.8181335
COCCCC(OC)C(=O)N1CCc2c(-c3ccc(N=c4nc5c(c[nH]4)cc(-c4cc6c[nH]c(=Nc7ccc(-c8c[nH]c9ncnc(CCC(N)=O)c89)cn7)nc6n4CCC(N)=O)n5-c4ncnc5[nH]cc(ON6C(N)=NC(N)=NC6(C)C)c45)nc3)nn(-c3cc[nH]n3)c2C1=O,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1297.34,2.9733,0.046688379,478.61,20,9,0.100694783,6.022598451
COc1ccc(N=c2nc3c(c[nH]2)cc(-c2cnc4c(-c5c[nH]c(-c6nc(=O)c(ON7C(N)=NC(N)=NC7(C)C)c[nH]6)nc5=O)cc(-c5nn(CCC(N)=O)c6cc(OC)ccc56)cn24)n3-c2ccc(N=c3nc4c(c[nH]3)cc(-c3ccc(=O)[nH]n3)n4-c3cc[nH]n3)nc2)nc1,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1287.26,3.4483,0.06686154,469.55,20,9,0.201125021,7.866281199
COc1cncc(-c2cc3c[nH]c(=Nc4ccc(-n5c(=O)n(CCC(N)=O)c(=O)c6[nH]c(-n7nc(-c8ccc(N=c9nc%10c(c[nH]9)cc(-c9cc(ON%11C(N)=NC(N)=NC%11(C)C)ncc9Cl)n%10CCCN)nc8)c8ccc(CCCN)cc87)nc65)cn4)nc3n2CCC(N)=O)n1,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1317.802,2.6386,0.047073379,483.57,20,9,0.13717361,3.814129955
CC(=O)N1CCc2c(-c3ccc(N=c4nc5c(c[nH]4)cc(-c4ccsc4ON4C(N)=NC(N)=NC4(C)C)n5-c4c[nH]c5ncnc(-n6nc(C(=O)CO)c7ccccc7c6=O)c45)nc3)nn(-c3ccc(N=c4nc5c(c[nH]4)cc(-c4nc(=O)c(CCCN)c[nH]4)n5CCC(N)=O)nc3)c2C1=O,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1376.419,3.0495,0.055736663,490.77,21,9,0.195838529,1.861115779
COc1cc(-c2ccc3c(-c4nc(=O)c(OC)c[nH]4)nn(C4(c5cccc(N=c6nc(-c7c[nH]c8ncnc(CCC(N)=O)c78)nc[nH]6)c5)N=C(N)N(C)C4=O)c3c2)c2cc(-c3cc4c[nH]c(=Nc5ccc(ON6C(N)=NC(N)=NC6(C)C)cn5)nc4n3CCCN)ccc2n1,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1290.348,3.5094,0.059321751,466.31,20,9,0.179632756,7.241653711
CC(=O)c1ccc(N=c2nc3c(c[nH]2)cc(-c2nc(=O)c(ON4C(N)=NC(N)=NC4(C)C)c[nH]2)n3-c2ccc(N=c3nc4c(c[nH]3)cc(-c3nn(-c5ccncc5)c5cc(-c6cc(C(=O)CO)c(=O)[nH]c6C)ccc35)n4-c3nc(=O)c(-c4cn(CO)cc4C#N)c[nH]3)nc2)nc1,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1284.252,3.8161,0.065869728,465.34,20,9,0.17690829,8.887879646
COCC(=O)Cc1ccc2c(ON3C(N)=NC(N)=NC3(C)C)nn(-c3ccc(N=c4nc5c(c[nH]4)cc(-c4ccc(N=c6nc7c(c[nH]6)cc(-c6nnc8sc(CCCN)nn68)n7-c6n[nH]c(=N)s6)nc4)n5-c4c[nH]c5ncnc(CCC(N)=O)c45)nc3)c2c1,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1246.346,3.02497,0.056156941,457.36,19,9,0.106208659,6.939841474
COC(C)C(OC)c1ccc2c(C3(c4cc5c[nH]c(=Nc6ccc(-c7noc(-c8c[nH]c9ncnc(-c%10n[nH]c(=N)s%10)c89)c7CCC(N)=O)cn6)nc5n4-c4c[nH]c(ON5C(N)=NC(N)=NC5(C)C)nc4=O)N=C(N)N(C)C3=O)nn(-c3cccc4cnccc34)c2c1,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1271.323,3.62127,0.062827735,464.92,20,9,0.184738552,13.37542526
CC1(C)N=C(N)N=C(N)N1Oc1cc2c[nH]c(=Nc3ccc(C(=O)N=c4[nH]cc(-n5nc(-c6cc7c[nH]c(=Nc8ccc(-c9nn%10c(-c%11ccc(CCCN)o%11)nnc%10s9)cn8)nc7n6CCCN)c6ccc(C(=O)CO)cc65)s4)cn3)nc2n1CCC(N)=O,1269.632228,3.31534,0.061031881,464.92,19,9,0.042221135,1251.358,3.1252,0.049490111,458.64,19,9,0.1244809,8.207733736
